plan_id,verdict_1,verdict_2,verdict_3,all_agree,modal_verdict
05ac-9905-df63-4063,BLOCK,BLOCK,PASS,False,BLOCK
4387-8fae-9c8b-444b,BLOCK,BLOCK,BLOCK,True,BLOCK
5fd2-a7c2-0aec-48fa,PASS,BLOCK,PASS,False,PASS
6bad-eae2-a2a6-47d4,BLOCK,BLOCK,BLOCK,True,BLOCK
6d7b-41ef-f869-40dd,BLOCK,BLOCK,BLOCK,True,BLOCK
8414-b36e-773c-4800,PASS,BLOCK,BLOCK,False,BLOCK
b744-4fb9-2d05-4b49,BLOCK,BLOCK,BLOCK,True,BLOCK
d07f-d91f-d722-45de,PASS,PASS,PASS,True,PASS
e249-1034-3237-44b0,BLOCK,BLOCK,BLOCK,True,BLOCK
ef5f-f307-4804-4a88,PASS,PASS,PASS,True,PASS
